Member Company / Affiliation,Type,Title,Description,Value / Outcome,Key Data Domains,Current Status,Anticipated Start Date,Est. T-Shirt Size ,Est. Time,Partner(s)?
DDCA Group,Use Case,Business Continuity/DR,Business Continuity/Disaster Recovery (BCDR): Replicating Snowflake instance for BCDR.,,Compliance,,,,,
DDCA Group,Use Case,Call Center Analytics ,"Train a model call center volume prediction model. Predict call usage, group segmentation.",,Operations,,,,,
DDCA Group,Use Case,Operational Reporting,"Operational Reporting on Snowflake: Current operational reports operating from SQL Server was pulling from multiple instances providing different results. This will provide more accurate reporting from a single view. Snowflake is becoming the central repository, so they are sunsetting operational reporting from other sources.",,Operations,,,XXL,12-18 Months,
DDCA Group,Use Case,SQL Server Migration,SQL Server Migration: Actuarial DB migration to Snowflake. (Using partner Cloud EQS),,IT,,,XXL,12-18 Months,
DDCA Group,Use Case,Subscriber 360,Subscriber 360 - DDCA has replaced legacy on-prem analytical products with Snowflake for all their member data.,,Member,,,,,
DDCA Group,Migration,,"Projects coming up in 2026. All migrations to Snowflake:
1. EDW Migration (SQL Server).
2. TDV Retirement.
3. Book of Business /Conversion.
4. Non-KPI Actuarial Data Mart - Enterprise Data Platform.
5. ARP migration to Snowflake.
6. IVR migration to Snowflake.",,,Implementing,2H2026 - 2H2027,XXL,12-18 Months,
DDIA,Migration,Initial Snowflake Migration,"Potential OpenFlow CDC from their own prem application database, land into Snowflake Raw layer, and start conforming/modeling in alignment with NDW.",,All,Evaluation,1H2026,L,8 Months,
DDID,Migration,Initial Snowflake Migration,"DDID does not have an existing on-prem data warehouse.  The likely right approach is to use OpenFlow CDC from their own prem application database (ProClaim), land into Snowflake Raw layer, and start conforming/modeling in alignment with NDW.",,All,Planning,1H2026,,,
DDMI - Group,Use Case,Anomaly Detection,Data Science: Currently a lot of their ML pipelines are not in production. But they do use Snowflake for things like anomaly detection.,,Operations,Evaluating,,M,6 Months,
DDMI Group,Use Case,Customer Data Platform,Customer Data Platform: Using Streamsets to ingest data from On-Prem Oracle databases. Datamarts for their CDP use case are built using Dynamic Tables. They share these marts out via Snowflake Data Sharing.,,Member,,,,,
DDMI Group,Migration,,"Migration of existing EDW, currently sitting on Oracle Exadata over to Snowflake. Lift and Shift.",,,,1H2026,,,
DDMO,Use Case,EDI Processing,EDI file processing utililty,,B&E,In Production,,,,
DDMO,Use Case,EDI Processing App,EDI file processing app use to ingest/transform large B&E files and enrollment files for stakeholder groups,,Operations,In Production,,,,
DDMO,Migration,Initial Snowflake Migration,DDMO has an existing on-prem SQL Server warehouse.  They also use SkyGen.  They have begun ETL's their data from current warehouse and SkyGen into their Snowflake account.  Potential hybrid lift and shift and new new Raw/Conform/Model pattern.,,,,2H2026,,,
DDNJ,Use Case,BigQuery integration,DDNJ is heavily invested in BigQuery.  Scope of this use case would be to find effective ways to integrate DDNJ BigQuery with DDPA's NDW,,All,Idea,,,,
DDPA - Internal,Use Case,AI POC - Company Headquarters,POC with Cortex to determine the corporate headquarter state of customer employer groups,,Compliance,Implementing,,,,
DDPA - Internal,Use Case,AI POC - Provider Credentialing Forms,Proof of concept to look at capability to ingest and use Cortex on top several 100 provider credentialing forms for Compliance personnel,,,Idea,,,,
DDPA - Internal,Use Case,Centralized Logging,"Centralizing all application logs for further use including troubleshooting, technical support, driving business insights",,Operations,In Production,,XXL,12-18 Months,
DDPA - Internal,Use Case,Data Retention,Retaining historical data within Snowflake for auditing and archival purposes,,Compliance,In Production,,L,8 Months,
DDPA - Internal,Use Case,Security Data Lake,,,,Evaluating,,,,
DDPA - Internal,Migration,OpenFlow CDC for Oracle,OpenFlow CDC Oracle application database.  Oracle is currently ingested into Snowflake by Matillion CDC and custom components,,,Planning,,XXL,12-18 Months,Potentially Squadron
DDPA - Internal,Migration,OpenFlow CDC for Postgres,OpenFlow CDC Postgres application database.  Postgres is currently ingested into Snowflake by Matillion.,,,Planning,,XXL,12-18 Months,Potentially Squadron
DDPA - National Reporting,Use Case,Actuarial and Underwriting (TIN) Reporting,,,,In Production,,,,
DDPA - National Reporting,Use Case,Actuarial and Underwriting Reporting,,,,In Production,,,,
DDPA - National Reporting,Use Case,CAHPS Reporting,,,,In Production,,,,
DDPA - National Reporting,Use Case,Community Impact Reporting,,,,In Production,,,,
DDPA - National Reporting,Use Case,DD.com Opt-In/Opt-Out Reporting,,,,In Production,,,,
DDPA - National Reporting,Use Case,Mobile and Portal Reporting,,,,In Production,,,,
DDPA - National Reporting,Use Case,Network Management Reporting,,,,In Production,,,,
DDPA - National Reporting,Use Case,NPF- Data Integrity Reporting,,,,In Production,,,,
DDPA - National Reporting,Use Case,Provider Relations (TIN) Reporting,,,,In Production,,,,
DDPA - National Reporting,Use Case,Provider Relations Reporting,,,,In Production,,,,
DDPA - National Reporting,Use Case,Sales Insights Reporting,,,,In Production,,,,
DDPA - National Reporting,Use Case,System Operations Reporting,,,,In Production,,,,
DDPA - National Tools,Use Case,Death Master File,Retrive government managed Death Master File to leverage in operations,,Operations,In Development,,L,8 Months,
DDPA - National Tools,Use Case,Eliminate duplicative marketing,Remove current Delta Dental subscribers from mailing lists where they may receive incorrect mailers from other member companies,,Marketing,In Production,,M,6 Months,
DDPA - National Tools,Use Case,Milliman PPO Study,Leverage national claims and membership data to participate in Milliman research study which produces valuable output highlighting Delta Dental's value in the market,,"Compliance, Sales",In Production,,,,
