Group & Individual Affiliations,Operating Areas,Member Companies 
"California, Pennsylvania (Midatlantic), Delta Dental Insurance Company (DDIC), and Affiliates",California,Delta Dental of California
"California, Pennsylvania (Midatlantic), Delta Dental Insurance Company (DDIC), and Affiliates",Pennsylvania,Delta Dental of Pennsylvania
"California, Pennsylvania (Midatlantic), Delta Dental Insurance Company (DDIC), and Affiliates",Maryland,Delta Dental of Pennsylvania
"California, Pennsylvania (Midatlantic), Delta Dental Insurance Company (DDIC), and Affiliates",Delaware,Delta Dental of Delaware
"California, Pennsylvania (Midatlantic), Delta Dental Insurance Company (DDIC), and Affiliates","Washington, D.C.",Delta Dental of the District of Columbia
"California, Pennsylvania (Midatlantic), Delta Dental Insurance Company (DDIC), and Affiliates",New York,Delta Dental of New York
"California, Pennsylvania (Midatlantic), Delta Dental Insurance Company (DDIC), and Affiliates",West Virginia,Delta Dental of West Virginia
"California, Pennsylvania (Midatlantic), Delta Dental Insurance Company (DDIC), and Affiliates",Alabama,Delta Dental Insurance Company (DDIC)
"California, Pennsylvania (Midatlantic), Delta Dental Insurance Company (DDIC), and Affiliates",Florida,Delta Dental Insurance Company (DDIC)
"California, Pennsylvania (Midatlantic), Delta Dental Insurance Company (DDIC), and Affiliates",Georgia,Delta Dental Insurance Company (DDIC)
"California, Pennsylvania (Midatlantic), Delta Dental Insurance Company (DDIC), and Affiliates",Louisiana,Delta Dental Insurance Company (DDIC)
"California, Pennsylvania (Midatlantic), Delta Dental Insurance Company (DDIC), and Affiliates",Mississippi,Delta Dental Insurance Company (DDIC)
"California, Pennsylvania (Midatlantic), Delta Dental Insurance Company (DDIC), and Affiliates",Montana,Delta Dental Insurance Company (DDIC)
"California, Pennsylvania (Midatlantic), Delta Dental Insurance Company (DDIC), and Affiliates",Nevada,Delta Dental Insurance Company (DDIC)
"California, Pennsylvania (Midatlantic), Delta Dental Insurance Company (DDIC), and Affiliates",Texas,Delta Dental Insurance Company (DDIC)
"California, Pennsylvania (Midatlantic), Delta Dental Insurance Company (DDIC), and Affiliates",Utah,Delta Dental Insurance Company (DDIC)
"California, Pennsylvania (Midatlantic), Delta Dental Insurance Company (DDIC), and Affiliates",Puerto Rico,Delta Dental of Puerto Rico
"Michigan, Indiana, Ohio, Tennessee, New Mexico, North Carolina, Kentucky, Arkansas",Kentucky,"Delta Dental of Kentucky, Inc. "
"Michigan, Indiana, Ohio, Tennessee, New Mexico, North Carolina, Kentucky, Arkansas",Michigan,"Delta Dental Plan of Michigan, Inc."
"Michigan, Indiana, Ohio, Tennessee, New Mexico, North Carolina, Kentucky, Arkansas",Indiana,"Delta Dental Plan of Indiana, Inc."
"Michigan, Indiana, Ohio, Tennessee, New Mexico, North Carolina, Kentucky, Arkansas",Ohio,"Delta Dental Plan of Ohio, Inc."
"Michigan, Indiana, Ohio, Tennessee, New Mexico, North Carolina, Kentucky, Arkansas",Tennessee,Delta Dental of Tennessee
"Michigan, Indiana, Ohio, Tennessee, New Mexico, North Carolina, Kentucky, Arkansas",New Mexico,"Delta Dental Plan of New Mexico, Inc."
"Michigan, Indiana, Ohio, Tennessee, New Mexico, North Carolina, Kentucky, Arkansas",North Carolina,Delta Dental of North Carolina
"Michigan, Indiana, Ohio, Tennessee, New Mexico, North Carolina, Kentucky, Arkansas",Arkansas ,"Delta Dental Plan of Arkansas, Inc."
Minnesota and Affiliates,Nebraska,Delta Dental of Nebraska
Minnesota and Affiliates,Minnesota,Delta Dental of Minnesota
Minnesota and Affiliates,North Dakota,Delta Dental of Minnesota
Arizona,Arizona,"Delta Dental of Arizona, Inc."
Missouri and Affiliates,Missouri,Delta Dental of Missouri
Missouri and Affiliates,South Carolina,Delta Dental of Missouri
Northeast Delta Dental (NEDD),Maine,Delta Dental Plan of Maine
Northeast Delta Dental (NEDD),New Hampshire,Delta Dental Plan of New Hampshire
Northeast Delta Dental (NEDD),Vermont ,Delta Dental Plan of Vermont 
New Jersey and Affiliates,New Jersey,Delta Dental of New Jersey
New Jersey and Affiliates,Connecticut ,Delta Dental of New Jersey
Oregon and Affiliates,Oregon,Delta Dental of Oregon
Oregon and Affiliates,Alaska,Delta Dental of Oregon
Wisconsin,Wisconsin,Delta Dental of Wisconsin
Illinois ,Illinois ,Delta Dental of Illinois 
Colorado,Colorado,Delta Dental of Colorado
Virginia ,Virginia ,Delta Dental of Virginia 
Idaho,Idaho,Delta Dental of Idaho
Wyoming ,Wyoming ,Delta Dental of Wyoming 
Hawaii,Hawaii,Hawaii Dental Service
South Dakota,South Dakota,Delta Dental of South Dakota
Iowa,Iowa,Delta Dental of Iowa
Kansas,Kansas,"Delta Dental of Kansas, Inc."
Massachusetts,Massachusetts,"DSM dba Delta Dental of Massachusetts, Inc."
Oklahoma,Oklahoma,Delta Dental of Oklahoma
Rhode Island,Rhode Island,Delta Dental of Rhode Island
Washington,Washington,Delta Dental of Washington
NorthWinds,N/A,N/A
TriForza,N/A,N/A
Advanced Health Services (AHS),N/A,N/A
SkyGen,N/A,N/A
